[0] Word: खण्ड | Confidence: 96.62
[175] Word: सदस्य | Confidence: 96.58
[176] Word: त्यसरी | Confidence: 95.61
[177] Word: नयाँ | Confidence: 96.26
[178] Word: दल | Confidence: 96.13
[179] Word: गठन | Confidence: 96.48
[180] Word: भएको | Confidence: 96.40
[181] Word: एक्काइस | Confidence: 91.00
[182] Word: दिन | Confidence: 96.42
[183] Word: भित्र | Confidence: 96.10
[184] Word: त्यस्तो | Confidence: 95.82
[185] Word: नयाँ | Confidence: 96.55
[186] Word: दलमा | Confidence: 96.53
[187] Word: प्रवेश | Confidence: 96.08
[188] Word: गरेमा | Confidence: 96.75
[189] Word: त्यस्ता | Confidence: 96.09
[190] Word: सदस्यले | Confidence: 95.86
[191] Word: दल | Confidence: 96.66
[192] Word: त्याग | Confidence: 96.76
[193] Word: गरेको | Confidence: 95.69
[194] Word: मानिने | Confidence: 96.66
[195] Word: छैन | Confidence: 92.86
[196] Word: ।" | Confidence: 90.34
[197] Word: र्‌ | Confidence: 68.99
